# voltage (V), current (A), dIdV (G0)
-8.739999999999999939e-04,-5.903145520658327954e-09,1.220786091642829807e-01
-8.720000000000000537e-04,-5.890242492983711449e-09,8.762284082231011628e-02
-8.700000000000000051e-04,-5.875989128328455901e-09,1.028645660425689529e-01
-8.679999999999999565e-04,-5.858362329249247010e-09,3.476828569478036118e-02
-8.660000000000000163e-04,-5.865213613655524547e-09,1.831800408700657579e-01
-8.639999999999999677e-04,-5.801590498865914468e-09,1.398037228558564882e-01
-8.620000000000000275e-04,-5.821885130905804194e-09,1.333443595414169269e-03
-8.599999999999999789e-04,-5.801177233134203766e-09,1.187787572997112545e-01
-8.580000000000000387e-04,-5.785072782625212085e-09,1.068782162001365582e-01
-8.559999999999999901e-04,-5.768053144216182264e-09,9.938252344763842672e-02
-8.540000000000000499e-04,-5.754271786307939446e-09,1.062864092076931249e-01
-8.520000000000000013e-04,-5.735112470292693414e-09,7.103230250852306249e-02
-8.500000000000000611e-04,-5.732257194485613423e-09,6.288019747924517011e-02
-8.480000000000000124e-04,-5.715624408772419879e-09,1.382446281069062699e-01
-8.459999999999999638e-04,-5.689411912101060398e-09,1.165398571861369081e-01
-8.440000000000000236e-04,-5.679505948629908405e-09,4.175841867195721063e-03
-8.419999999999999750e-04,-5.688117719867748891e-09,1.339273712945795447e-01
-8.400000000000000348e-04,-5.637998686317341793e-09,2.454687508121360939e-01
-8.379999999999999862e-04,-5.612041143951931581e-09,3.255098321783288229e-02
-8.360000000000000460e-04,-5.627910366163703462e-09,2.073354533275621400e-02
-8.339999999999999974e-04,-5.605615327507707301e-09,1.753818183952747245e-01
-8.320000000000000572e-04,-5.573555389502687303e-09,1.140973838072776164e-01
-8.300000000000000086e-04,-5.570253847676601301e-09,2.304562504689466190e-02
-8.279999999999999600e-04,-5.566413004830068212e-09,1.169063546828117695e-01
-8.260000000000000198e-04,-5.534021801285185181e-09,1.104176895188715840e-01
-8.239999999999999712e-04,-5.532191949354211309e-09,9.777114512910430044e-02
-8.220000000000000310e-04,-5.503720209248800062e-09,1.026842114350358937e-01
-8.199999999999999824e-04,-5.500367681781465494e-09,6.044162124783014622e-02
-8.180000000000000422e-04,-5.484987920221694265e-09,1.065871937604614128e-01
-8.159999999999999936e-04,-5.467333787605755607e-09,1.060445070854563604e-01
-8.140000000000000534e-04,-5.452122217491505673e-09,1.173203767744794151e-01
-8.120000000000000048e-04,-5.430973425968574905e-09,9.878090323701277375e-02
-8.100000000000000646e-04,-5.421507677517350807e-09,8.192480386453185326e-02
-8.080000000000000160e-04,-5.405582990159665858e-09,1.235187288464265620e-01
-8.059999999999999673e-04,-5.383226299863286369e-09,1.003901463654455345e-01
-8.040000000000000271e-04,-5.374469707650576796e-09,8.103187312395823683e-02
-8.019999999999999785e-04,-5.358112604425801971e-09,1.266613501864269353e-01
-8.000000000000000383e-04,-5.335214357260040124e-09,1.288997390215369521e-01
-7.979999999999999897e-04,-5.318163524354481126e-09,5.684221821871771052e-02
-7.960000000000000495e-04,-5.317597608426500460e-09,1.865505133552104386e-02
-7.940000000000000009e-04,-5.312381882396207726e-09,1.248030505020392145e-01
-7.920000000000000607e-04,-5.278918189092549168e-09,1.334594495834125760e-01
-7.900000000000000121e-04,-5.271019640097243674e-09,3.884993280782071678e-02
-7.879999999999999635e-04,-5.266877675370129820e-09,1.022910600842496104e-01
-7.860000000000000233e-04,-5.239317219433667982e-09,1.504065678575214615e-01
-7.839999999999999747e-04,-5.220263119993965475e-09,1.213643420855444327e-01
-7.820000000000000345e-04,-5.201703537229327094e-09,1.061932660439178361e-01
-7.799999999999999859e-04,-5.187351313341551309e-09,1.045283236587003367e-01
-7.780000000000000457e-04,-5.169307735629877926e-09,5.392670279188570975e-02
-7.759999999999999971e-04,-5.170638151746591112e-09,3.527868425270105218e-02
-7.740000000000000569e-04,-5.158374036363143323e-09,1.575542964567236137e-01
-7.720000000000000083e-04,-5.121808346096799810e-09,1.141730718543472051e-01
-7.700000000000000681e-04,-5.122989099014773741e-09,8.085950684543288802e-02
-7.680000000000000195e-04,-5.096748071048794384e-09,9.150413136649043766e-02
-7.659999999999999708e-04,-5.094629802878372382e-09,7.296801739656950947e-02
-7.640000000000000306e-04,-5.074133555365919834e-09,1.187837925442751241e-01
-7.619999999999999820e-04,-5.057815894056310821e-09,7.399214280344791617e-02
-7.600000000000000418e-04,-5.051201638979263214e-09,1.209582768256478175e-01
-7.579999999999999932e-04,-5.020328061087234424e-09,1.553669970041554882e-01
-7.560000000000000530e-04,-5.003049729201364401e-09,5.800367272025753335e-02
-7.540000000000000044e-04,-5.002351350013017563e-09,1.137318240728623225e-01
-7.520000000000000642e-04,-4.967801544984444770e-09,1.241385326848503945e-01
-7.500000000000000156e-04,-4.963877880479191614e-09,5.701762823702626742e-02
-7.479999999999999670e-04,-4.950130432434425009e-09,9.116263195163995525e-02
-7.460000000000000268e-04,-4.935624423094457241e-09,8.904897585505631985e-02
-7.439999999999999782e-04,-4.922532047102486600e-09,1.298053878881621770e-01
-7.420000000000000380e-04,-4.895394661003421435e-09,9.405222462759746382e-02
-7.399999999999999894e-04,-4.893383036553242828e-09,7.216458807844718104e-02
-7.380000000000000492e-04,-4.873029147082730241e-09,1.117253318197580919e-01
-7.360000000000000006e-04,-4.858756711777545693e-09,3.860705080558278490e-02
-7.340000000000000604e-04,-4.861063908241615859e-09,9.493288663518523185e-02
-7.320000000000000118e-04,-4.829334763227616996e-09,1.570496878880350555e-01
-7.299999999999999632e-04,-4.812390492730921981e-09,1.195243816757329824e-01
-7.280000000000000230e-04,-4.792291328304593796e-09,1.207646180750013010e-01
-7.259999999999999743e-04,-4.774962679192412574e-09,7.017125864007206504e-02
-7.240000000000000342e-04,-4.770543594357285976e-09,1.245700238435444862e-01
-7.219999999999999855e-04,-4.736355480335471882e-09,4.464722058166023522e-02
-7.200000000000000453e-04,-4.756706363936818602e-09,4.564067635712948379e-02
-7.179999999999999967e-04,-4.722210354455923608e-09,1.504390367972790188e-01
-7.160000000000000565e-04,-4.710081745667707792e-09,1.061371181869892599e-01
-7.140000000000000079e-04,-4.689315949353342918e-09,1.342135041726653932e-01
-7.120000000000000677e-04,-4.668485804003694145e-09,7.759501662391368737e-02
-7.100000000000000191e-04,-4.665267417092729440e-09,8.753479925851702370e-02
-7.079999999999999705e-04,-4.641356697838310262e-09,8.681827733928072777e-02
-7.060000000000000303e-04,-4.638360378029588091e-09,8.025475543098503639e-02
-7.039999999999999817e-04,-4.616483849567600592e-09,1.533462349984990314e-01
-7.020000000000000415e-04,-4.590834750226981484e-09,1.101531271169444853e-01
-6.999999999999999929e-04,-4.582344788242070959e-09,8.142849145668078215e-02
-6.980000000000000527e-04,-4.565598133380563681e-09,1.483494731555789758e-01
-6.960000000000000041e-04,-4.536367775203739791e-09,7.897193658398124483e-02
-6.940000000000000639e-04,-4.541122861033783086e-09,6.457393331048136287e-02
-6.920000000000000153e-04,-4.516354784860060620e-09,1.089513592544204268e-01
-6.899999999999999667e-04,-4.507356256013682957e-09,1.139086347653325004e-01
-6.880000000000000265e-04,-4.481051802824583258e-09,5.195485396528441713e-02
-6.859999999999999779e-04,-4.491254217042092247e-09,6.848087979564995709e-02
-6.840000000000000377e-04,-4.459827957291011934e-09,1.477536586152406739e-01
-6.819999999999999890e-04,-4.445461861032244564e-09,8.041425676813047929e-02
-6.800000000000000488e-04,-4.434905675780658122e-09,1.352050037038863006e-01
-6.780000000000000002e-04,-4.403558630195544193e-09,1.600844815706515267e-01
-6.760000000000000600e-04,-4.385291705876704233e-09,2.736970705152447572e-02
-6.740000000000000114e-04,-4.395076110162302686e-09,6.601865519136421168e-02
-6.720000000000000712e-04,-4.364830962026788798e-09,1.755977682545107055e-01
-6.700000000000000226e-04,-4.340654205528557156e-09,9.117619036131063837e-02
-6.679999999999999740e-04,-4.336573302569979714e-09,3.643693943814906022e-02
-6.660000000000000338e-04,-4.329361535564925421e-09,1.471261570531241236e-01
-6.639999999999999852e-04,-4.290975424146664136e-09,1.241641780964235636e-01
-6.620000000000000450e-04,-4.290880117911043551e-09,5.147501831282855905e-02
-6.599999999999999964e-04,-4.275022097601074311e-09,8.865956405147273900e-02
-6.580000000000000562e-04,-4.263402420514084073e-09,6.612398734220190089e-02
-6.560000000000000076e-04,-4.254528708824490356e-09,1.203446931168827838e-01
-6.540000000000000674e-04,-4.226104751659366061e-09,1.356878141700084972e-01
-6.520000000000000188e-04,-4.212475843596622241e-09,1.224299140973352934e-01
-6.499999999999999702e-04,-4.188160823467375354e-09,1.621504574909969909e-01
-6.480000000000000300e-04,-4.162221578855039894e-09,3.137806128476716694e-02
-6.459999999999999814e-04,-4.178436019582875926e-09,6.147568554594490253e-02
-6.440000000000000412e-04,-4.143168808826516240e-09,1.729768130865999565e-01
-6.419999999999999925e-04,-4.124826410991474860e-09,6.912267194049807884e-02
-6.400000000000000524e-04,-4.121746056716573131e-09,1.186057338892544666e-01
-6.380000000000000037e-04,-4.088067686761101701e-09,1.599583110814868370e-01
-6.360000000000000635e-04,-4.072171190033560514e-09,-3.253952228040801146e-03
-6.340000000000000149e-04,-4.089076163574889695e-09,3.931811143462472097e-02
-6.319999999999999663e-04,-4.059985576673299932e-09,1.660666502393270960e-01
-6.300000000000000261e-04,-4.037608178007606286e-09,1.212146769235459831e-01
-6.279999999999999775e-04,-4.022418279245110880e-09,6.109740493369689163e-02
-6.260000000000000373e-04,-4.018672646094399898e-09,1.388000581202038231e-01
-6.239999999999999887e-04,-3.979400855952874753e-09,1.330463285793971051e-01
-6.220000000000000485e-04,-3.977438439772803210e-09,4.841679537858589732e-02
-6.199999999999999999e-04,-3.964395345080174817e-09,1.478623057252751172e-01
-6.180000000000000597e-04,-3.931612411451969584e-09,1.046639139191383044e-01
-6.160000000000000111e-04,-3.931957520849711618e-09,7.339470352072718917e-02
-6.140000000000000709e-04,-3.908865655639915759e-09,1.195771481246911544e-01
-6.120000000000000223e-04,-3.894897732355219242e-09,1.309838241439475193e-01
-6.099999999999999737e-04,-3.868270668260613922e-09,9.571932626571363900e-02
-6.080000000000000335e-04,-3.865232047549424219e-09,5.766080029293843556e-02
-6.059999999999999849e-04,-3.850400221467124353e-09,8.163052525062125531e-02
-6.040000000000000447e-04,-3.839932815648293522e-09,8.730159853152541505e-02
-6.019999999999999961e-04,-3.823343389726700516e-09,8.820923388009113686e-02
-6.000000000000000559e-04,-3.812594686230382407e-09,1.623876883178906605e-01
